CustomerID,FirstName,LastName,Email,Phone,City,State,PostalCode,CarModel,CarMake,ModelYear,PurchaseDate,Dealer
CUST0637,Jamie,Jones,jamie.jones1@mail.com,567-881-2574,Philadelphia,AZ,36197,Hatchback,Chevrolet,2017,2023-05-12,City Cars
CUST0607,Jordan,Brown,jordan.brown@carsales.net,473-493-3631,Phoenix,PA,88804,SUV,Toyota,2013,2023-08-01,Prime Motors
CUST0086,Quinn,Miller,quinn.miller@autoclub.com,916-502-1359,San Antonio,IL,11061,Convertible,Tesla,2019,2025-08-01,Highway Auto
CUST0651,Casey,Garcia,casey.garcia2@carsales.net,221-365-5718,Houston,TX,55068,Convertible,Honda,2017,2024-07-22,Metro Vehicles
CUST0368,Avery,Rodriguez,avery.rodriguez2@carsales.net,869-993-3435,Philadelphia,TX,39269,SUV,Chevrolet,2024,2024-03-24,Metro Vehicles
CUST0489,Jordan,Jones,jordan.jones1@mail.com,361-480-2875,Chicago,AZ,83351,SUV,BMW,2018,2025-04-14,City Cars
CUST0686,Alex,Smith,alex.smith1@carsales.net,479-812-5110,San Antonio,IL,92864,Coupe,Toyota,2013,2022-12-30,Prime Motors
CUST0080,Jordan,Garcia,jordan.garcia@autoclub.com,546-838-7512,Los Angeles,IL,98389,Hatchback,Ford,2023,2022-11-13,Highway Auto
CUST0584,Taylor,Rodriguez,taylor.rodriguez1@example.com,942-301-4506,Dallas,PA,72221,Hatchback,Tesla,2015,2024-10-26,AutoWorld
CUST0492,Quinn,Garcia,quinn.garcia@autoclub.com,519-540-4246,Dallas,NY,71039,Sedan,Audi,2019,2025-02-13,Highway Auto
CUST0515,Avery,Brown,avery.brown2@carsales.net,899-922-7390,San Diego,IL,29025,Sedan,Ford,2018,2023-06-03,Highway Auto
CUST0564,Casey,Johnson,casey.johnson4@carsales.net,714-641-9321,Phoenix,NY,62642,Hatchback,Ford,2019,2024-08-15,AutoWorld
